exchange,exchange_mic,orgpermid,company_name,company_country,main_isin,main_cusip,main_ticker,ric,sedol,lei,ultimate_parent,listing_start,listing_end,listing_year,delisting_year,is_active
JPX(TSE),XTKS,5001203464,1st Holdings Inc,,JP3802270003,,3644.T^I13,3644.T^I13,B5V6R77,,1st Holdings Inc,,,,,False
JPX(TSE),XTKS,5035457143,3-D Matrix Ltd,JP,JP3410730000,,7777.T,7777.T,B6TKL09,,3-D Matrix Ltd,2011-10-24,,2011,,True
JPX(TSE),XTKS,4295880220,4Cs Holdings Co Ltd,JP,JP3163300001,,3726.T,3726.T,6712086,,4Cs Holdings Co Ltd,2003-12-05,,2003,,True
JPX(TSE),XTKS,4295880608,77 Bank Ltd,JP,JP3352000008,,8341.T,8341.T,6804165,549300U6CT3EHB9XS980,77 Bank Ltd,1972-10-02,,1972,,True
JPX(TSE),XTKS,4298187727,A Holdings Corp,,JP3966750006,,3938.T^L20,3938.T^L20,BZB1Y59,353800SE9WIPQJH4RB92,A Holdings Corp,,,,,False
JPX(TSE),XTKS,4295876160,A&A Material Corp,JP,JP3119800005,,5391.T,5391.T,6054108,,A&A Material Corp,1949-05-16,,1949,,True
JPX(TSE),XTKS,4295878743,A&D Co Ltd,JP,JP3160130005,,7745.T,7745.T,6601388,,A&D Co Ltd,2003-04-10,,2003,,True
JPX(TSE),XTKS,4295880381,A&T Corp,,JP3160680009,,6722.T^A21,6722.T^A21,6651855,,Tokuyama Corp,,,,,False
JPX(TSE),XTKS,4295880837,A-One Seimitsu Inc,JP,JP3160660001,,6156.T,6156.T,6588210,,A-One Seimitsu Inc,2003-03-06,,2003,,True
JPX(TSE),XTKS,5071556765,A.D.Works Group Co Ltd,JP,JP3160560003,,2982.T,2982.T,BKSGHH5,,A.D.Works Group Co Ltd,2020-04-01,,2020,,True
JPX(TSE),XTKS,4295880161,ABC-Mart Inc,JP,JP3152740001,,2670.T,2670.T,6292102,353800AXWW4CMTSJWL33,ABC-Mart Inc,2002-11-22,,2002,,True
JPX(TSE),XTKS,5044014209,ABhotel Co Ltd,JP,JP3160610006,,6565.T^E26,6565.T^E26,BF2WQW2,,Tosho Co Ltd,2017-12-25,,2017,,True
JPX(TSE),XTKS,4295877128,AC Real Estate Corp,,JP3345750008,,3331.T^B16,3331.T^B16,B01RRD1,,TK Management KK,,,,,False
JPX(TSE),XTKS,4295875893,ADK Holdings Inc,,JP3109800007,,9747.T^C18,9747.T^C18,6056052,353800U7PWX45Q829T66,Bain Capital Holdings LP,,,,,False
JPX(TSE),XTKS,4295879187,ADTEC Engineering Co Ltd,,JP3122020005,,6260.T^G14,6260.T^G14,B125T46,,Ushio Inc,,,,,False
JPX(TSE),XTKS,4295877475,AFC-HD AMS Life Science Co Ltd,JP,JP3124700000,,2927.T,2927.T,B05QHP6,,AFC-HD AMS Life Science Co Ltd,2005-03-03,,2005,,True
JPX(TSE),XTKS,4295877349,AGC Inc,JP,JP3112000009,,5201.T,5201.T,6055208,JE4WFFEELMVPFZ0G1E77,AGC Inc,1950-06-12,,1950,,True
JPX(TSE),XTKS,4298178921,AGC Techno Glass Co Ltd,,JP3114650009,,5215.T^F05,5215.T^F05,6468099,,AGC Inc,,,,,False
JPX(TSE),XTKS,4295878404,AGP Corp,,JP3160470005,,9377.T^I25,9377.T^I25,6421780,,AGP Corp,,,,,True
JPX(TSE),XTKS,4298195067,AGS Corp,JP,JP3160460006,,3648.T,3648.T,B3YSGV3,,AGS Corp,2011-03-11,,2011,,True
JPX(TSE),XTKS,5073091051,AHC Group Inc,JP,JP3160170001,,7083.T,7083.T,BKKKMK3,,AHC Group Inc,2020-02-25,,2020,,True
JPX(TSE),XTKS,5059100596,AI Cross Inc,JP,JP3160030007,,4476.T,4476.T,BKBLHR7,,AI Cross Inc,2019-10-08,,2019,,True
JPX(TSE),XTKS,4297698700,AI Inc,JP,JP3160020008,,4388.T,4388.T,BG1VQB6,,AI Inc,2018-06-27,,2018,,True
JPX(TSE),XTKS,5052168202,AI inside Inc,JP,JP3160040006,,4488.T,4488.T,BK5QZR4,,AI inside Inc,2019-12-25,,2019,,True
JPX(TSE),XTKS,4295879516,AIN Holdings Inc,JP,JP3105250009,,9627.T,9627.T,6249120,,AIN Holdings Inc,1994-03-18,,1994,,True
JPX(TSE),XTKS,4295878757,AIT Corp,JP,JP3160050005,,9381.T,9381.T,B1RMMM1,,AIT Corp,2007-03-15,,2007,,True
JPX(TSE),XTKS,4295879527,AJIS Co Ltd,JP,JP3160720003,,4659.T^F26,4659.T^F26,6034070,,AJIS Co Ltd,1996-11-01,,1996,,True
JPX(TSE),XTKS,4295876759,ALMT Corp,,,,5728.T^G04,5728.T^G04,6895006,,Sumitomo Electric Industries Ltd,,,,,False
JPX(TSE),XTKS,5071528478,ALiNK Internet INC,JP,JP3126030000,,7077.T,7077.T,BG0WNM0,,ALiNK Internet INC,2019-12-10,,2019,,True
JPX(TSE),XTKS,4295878890,AMG Holdings Co Ltd,JP,JP3167440001,,8891.T,8891.T,6370752,,AMG Holdings Co Ltd,2001-07-19,,2001,,True
JPX(TSE),XTKS,4295879535,AMSC Co Ltd,,JP3124600002,,7468.T^G13,7468.T^G13,6009410,,AMSC Co Ltd,,,,,False
JPX(TSE),XTKS,4295880494,ANA Holdings Inc,JP,JP3429800000,,9202.T,9202.T,6014908,5493008IRKIY0G3TE305,ANA Holdings Inc,1961-10-01,,1961,,True
JPX(TSE),XTKS,5040265972,ANAP Inc,JP,JP3160160002,,3189.T,3189.T,BFTRL25,,ANAP Inc,2013-11-19,,2013,,True
JPX(TSE),XTKS,4295877459,AOI Pro. Inc,,JP3105300002,,9607.T^L16,9607.T^L16,6001342,,AOI TYO Holdings Inc,,,,,False
JPX(TSE),XTKS,5051782420,AOI TYO Holdings Inc,,JP3105330009,,3975.T^I21,3975.T^I21,BYNZR97,,AOI TYO Holdings Inc,,,,,True
JPX(TSE),XTKS,5037661013,AP Holdings Co Ltd,JP,JP3160620005,,3175.T,3175.T,B8L6C73,,AP Holdings Co Ltd,2012-09-25,,2012,,True
JPX(TSE),XTKS,4295880427,AQ Interactive Inc,,JP3160350009,,3838.T^I11,3838.T^I11,B1PFGM0,,AQ Interactive Inc,,,,,False
JPX(TSE),XTKS,4295880754,ASJ Inc,JP,JP3122420007,,2351.T,2351.T,6580700,,ASJ Inc,2003-01-30,,2003,,True
JPX(TSE),XTKS,5073682929,ASKA Pharmaceutical Holdings Co Ltd,JP,JP3119660003,,4886.T,4886.T,BMBZJV1,,ASKA Pharmaceutical Holdings Co Ltd,2021-04-01,,2021,,True
JPX(TSE),XTKS,4295880335,AVIX Inc,JP,JP3122530003,,7836.T,7836.T,B06NPQ3,,AVIX Inc,2005-04-01,,2005,,True
JPX(TSE),XTKS,5062433436,AZoom Co Ltd,JP,JP3119880007,,3496.T,3496.T,BDTM4F0,,AZoom Co Ltd,2018-09-20,,2018,,True
JPX(TSE),XTKS,4295880195,Abalance Corp,JP,JP3969530009,,3856.T,3856.T,B2416M6,,Abalance Corp,2007-09-19,,2007,,True
JPX(TSE),XTKS,5040272136,Abist Co Ltd,JP,JP3122480001,,6087.T,6087.T,BGY67N7,,Abist Co Ltd,2013-12-18,,2013,,True
JPX(TSE),XTKS,4295880538,Ac Real Estate Corp,,JP3816700003,,1806.T^L02,1806.T^L02,6356882,,Ac Real Estate Corp,,,,,False
JPX(TSE),XTKS,4295877542,Access Co Ltd,JP,JP3108060009,,4813.T,4813.T,6324306,,Access Co Ltd,2001-02-26,,2001,,True
JPX(TSE),XTKS,5046015685,Access Group Holdings Co Ltd,JP,JP3108190004,,7042.T,7042.T,BDC4PV6,,Access Group Holdings Co Ltd,2018-11-06,,2018,,True
JPX(TSE),XTKS,4295880420,Accordia Golf Co Ltd,,JP3108450002,,2131.T^C17,2131.T^C17,B1FQWP8,,Accordia Golf Co Ltd,,,,,False
JPX(TSE),XTKS,5064608218,Accrete Inc,JP,JP3108180005,,4395.T,4395.T,BDC4226,,Accrete Inc,2018-07-26,,2018,,True
JPX(TSE),XTKS,4295880736,Accretive Co Ltd,,JP3802820005,,8423.T^B19,8423.T^B19,B049MM8,,Fuyo General Lease Co Ltd,,,,,False
JPX(TSE),XTKS,4295878727,Achilles Corp,JP,JP3108000005,,5142.T,5142.T,6496045,,Achilles Corp,1961-10-02,,1961,,True
JPX(TSE),XTKS,4295879522,Acmos Inc,JP,JP3108100003,,6888.T,6888.T,6040646,,Acmos Inc,1996-12-25,,1996,,True
JPX(TSE),XTKS,4295878084,Acom Co Ltd,JP,JP3108600002,,8572.T,8572.T,6049784,,Mitsubishi UFJ Financial Group Inc,1993-10-01,,1993,,True
JPX(TSE),XTKS,4295880631,Acrodea Inc,JP,JP3108120001,,3823.T,3823.T,B1FDBZ2,,Acrodea Inc,2006-10-19,,2006,,True
JPX(TSE),XTKS,5037459430,Activia Properties Inc,JP,JP3047490002,,3279.T,3279.T,B8BSRY1,353800RPGYN3ML8CXV54,Activia Properties Inc,2012-06-13,,2012,,True
JPX(TSE),XTKS,4295985126,Acucela Inc,,US00510T1097,00510T109,4589.T^K16,4589.T^K16,BHLS885,549300F9LXJ6ENT2CY78,Acucela Inc,,,,,False
JPX(TSE),XTKS,5035531862,Ad Me Tech Co Ltd,,JP3122390002,,7778.T^G19,7778.T^G19,BCZLXR9,,Ad Me Tech Co Ltd,,,,,False
JPX(TSE),XTKS,4295878490,Ad-Sol Nissin Corp,JP,JP3122030004,,3837.T,3837.T,B1N9196,,Ad-Sol Nissin Corp,2007-02-19,,2007,,True
JPX(TSE),XTKS,4295878311,Adastria Co Ltd,JP,JP3856000009,,2685.T,2685.T,6300016,353800DZZIJ399PIWU03,Adastria Co Ltd,2002-12-12,,2002,,True
